"seq","date","bust","sleeve","height","waist","crotch","head","foot","weight"
52094,2014,91.8,88.5,177.8,84.1,83.9,57.8,27.2,78.8
57714,2014,94.7,86.3,171.9,89.2,78.6,58.6,26.8,71.9
10741,20140224,114,89.4,179.3,109.8,84.8,60.8,29.9,105.9
8843,2013,105.7,88.1,177,94.4,77.9,57.6,28,81.1
19853,20140414,100.6,87.5,175.7,92.6,76.4,58.1,27.8,78.8
42241,2013,104.2,88.6,176.5,98.1,81.7,60.4,26.7,83.8
46561,2013,91.4,83.4,167.3,84.8,73.8,56.7,30.8,63.3
40117,2013,91.6,90.6,181.9,81.8,85.1,60,27.1,75.2
64329,2014,77.9,85,169.6,66.2,74.5,56.7,26.5,47.2
26347,2013,86.5,86.6,173.8,71.2,76.6,54.3,27.9,60.2
19551,2013,85.1,83.7,167,72,77.3,55.9,25.6,55.9
17715,2013,99.4,87.8,176.1,92.5,81,58.2,26.3,74.3
16281,2013,93.8,86.8,173.7,79.1,77,58.5,25.9,73.8
56126,2014,100.2,86.1,171.5,94.7,80.7,58.1,25,74.4
66924,2014,94.4,93.4,186.8,87.6,85.2,57.5,29.2,80.3
69026,2014,83.5,87.1,173.8,68.6,76.1,57.2,26.6,54
26,20140106,98.2,83.6,167.2,82.9,75.3,56.3,26.1,76.8
67295,2014,91.8,85.2,171.3,81.3,75.2,59.3,26.4,62.4
9998,20140217,107.4,87.2,174.7,98.5,81.3,60.9,28.7,87.1
32232,2013,107.6,86.4,172.5,103.2,78.9,57.6,27.5,95
8271,2013,104.6,85.3,170.2,97.2,75,59.7,27.5,82.3
18968,20140407,103.7,82.5,165.4,84.7,76.2,57.2,25.7,67.8
4466,2013,102.6,88.6,176.4,86.5,77.9,58.3,27.7,76.1
4606,2013,88.9,85.7,171.1,71.5,75.5,56.7,24.6,58
16685,2013,97,89.7,179,84.9,81,57.9,27.2,71.8
52084,2014,97.4,86.6,172.9,95,77.5,57.5,26.2,77
22440,2013,97.6,89.5,179.5,87.8,86.3,57.6,27.8,76.1
34240,2013,90.2,85.5,170.3,78.5,78.2,60,25.7,58.3
65577,2014,94.3,89.4,179.9,84.6,80.9,60.2,26.2,75
72625,2014,95.2,84,168.5,88.5,75.8,57.2,28,69.5
36252,2013,100.9,83.3,166.6,98.6,74.2,59.9,24.7,81.8
8045,20140210,93.9,87.8,175.3,79,78.4,57.1,27.8,57.2
49013,2013,98,87,174.1,85,76,61.2,26.2,70
6114,2013,92.8,84,168.6,79.2,74.5,54.8,24.9,60.6
37433,2013,95.9,91.7,183.8,86.6,85,58.1,28.8,77.7
24298,2013,107.5,85.1,169.9,109.4,81.4,56.9,28.7,105.3
50173,2013,96.7,93,186,86,90.1,58.6,27,80.8
21558,20140428,104.2,91,181.6,93.5,86.3,61.8,28.6,86.6
50046,2013,90.8,89.2,179.1,85.7,85.1,56.3,26.8,70.4
41281,2013,89.2,87.6,176.1,79.9,80.5,58.4,26.5,67.5
38561,2013,97.5,83.5,166.1,89,76.8,55.7,25.5,71.4
15026,2013,88.1,86.9,174.7,78,81.6,55.1,25.9,54.8
62468,2014,99.4,88.9,178.5,95.9,83.1,56.9,27.1,80.1
31513,2013,86.9,89.9,179.8,78.1,79,56,26.2,65.1
5021,2013,101,87.9,175.2,83.6,77.2,56.6,27.7,69.7
8846,2013,97.7,86.7,173.3,80,76.5,57.1,25.6,64.8
